name,url
Samsung Galaxy Tab S9 FE (128GB Wi-Fi),https://www.croma.com/samsung-galaxy-tab-s9-fe-11-inch-6-gb-ram-128-gb-rom-wi-fi-android-tablet-gray-/p/284380
Samsung Galaxy Buds2 Pro,https://www.croma.com/samsung-galaxy-buds2-pro-anc-bluetooth-earbuds-/p/252678
